Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Year_lastUpdated,Current Ver,Android Ver
HEALTH_AND_FITNESS,3.9,2057,6.2,50000,Paid,1.99,Everyone,2017,yes,yes
TOOLS,5,2,6.3,100,Paid,1.99,Everyone,2018,yes,yes
GAME,4.5,2,7.8,100,Paid,1.99,Everyone,2015,yes,yes
ART_AND_DESIGN,4.8,1216,8.6,10000,Paid,1.99,Everyone,2018,yes,yes
FAMILY,4.8,16,8.9,500,Paid,1.99,Everyone,2017,yes,yes
FAMILY,4.4,2311,9.3,100000,Paid,1.99,Everyone,2015,yes,yes
FINANCE,2.4,36,9.4,1000,Paid,1.99,Everyone,2015,yes,yes
PHOTOGRAPHY,4.6,617,12,10000,Paid,1.99,Everyone,2016,yes,yes
SPORTS,4.3,340,15,5000,Paid,1.99,Everyone,2018,yes,yes
FAMILY,4.3,11,20,500,Paid,1.99,Everyone 10+,2016,yes,yes
SPORTS,4.4,426,21,5000,Paid,1.99,Everyone,2016,yes,yes
FAMILY,4.6,28,23,1000,Paid,1.99,Everyone,2014,yes,yes
GAME,4.5,7687,23,100000,Paid,1.99,Everyone,2017,yes,yes
SPORTS,4.6,60,24,1000,Paid,1.99,Everyone,2014,yes,yes
FAMILY,3.4,642,26,10000,Paid,1.99,Everyone 10+,2015,yes,yes
GAME,5,4,33,50,Paid,1.99,Teen,2013,yes,yes
GAME,4.6,19922,35,100000,Paid,1.99,Everyone 10+,2018,yes,yes
PERSONALIZATION,4.1,291,35,5000,Paid,1.99,Everyone,2016,yes,yes
GAME,4.3,5682,37,50000,Paid,1.99,Everyone,2017,yes,yes
PERSONALIZATION,4.5,90,37,1000,Paid,1.99,Everyone,2018,yes,yes
PERSONALIZATION,4.6,29,39,100,Paid,1.99,Everyone,2018,yes,yes
FAMILY,3,76,39,5000,Paid,1.99,Everyone,2018,yes,yes
FAMILY,4.4,925,40,10000,Paid,1.99,Everyone,2014,yes,yes
GAME,4,267,40,10000,Paid,1.99,Everyone,2017,yes,yes
PERSONALIZATION,4.7,1500,41,10000,Paid,1.99,Everyone,2017,yes,yes
GAME,4.4,2975,42,50000,Paid,1.99,Everyone,2016,yes,yes
LIFESTYLE,4.9,145,48,5000,Paid,1.99,Mature 17+,2016,yes,yes
GAME,3.9,168,49,5000,Paid,1.99,Everyone 10+,2017,yes,yes
HEALTH_AND_FITNESS,4.8,787,53,1000,Paid,1.99,Everyone,2018,yes,yes
GAME,3.9,24,64,1000,Paid,1.99,Teen,2017,yes,yes
FAMILY,4.7,188740,69,1000000,Paid,1.99,Everyone,2018,yes,yes
SPORTS,4.4,129409,73,1000000,Paid,1.99,Everyone,2018,yes,yes
GAME,4.7,16851,81,100000,Paid,1.99,Everyone 10+,2018,yes,yes
GAME,3.7,42529,92,500000,Paid,1.99,Teen,2016,yes,yes
PERSONALIZATION,4.3,505,0.288,10000,Paid,1.99,Everyone,2013,yes,yes
MEDICAL,4.5,163,0.375,10000,Paid,1.99,Everyone,2015,yes,yes
TOOLS,4.2,928,0.383,10000,Paid,1.99,Everyone,2014,yes,yes
PRODUCTIVITY,4.4,26358,0.05,500000,Paid,1.99,Everyone,2014,yes,yes
PERSONALIZATION,4.4,18,2.1,500,Paid,2,Everyone,2013,yes,yes
COMMUNICATION,4.6,94,1.1,1000,Paid,2.49,Everyone,2015,yes,yes
LIFESTYLE,3.6,126,1.4,5000,Paid,2.49,Everyone,2018,yes,yes
SHOPPING,4.8,14,2.7,100,Paid,2.49,Everyone,2018,yes,yes
PERSONALIZATION,4.3,28728,2.8,500000,Paid,2.49,Everyone,2013,yes,yes
SPORTS,4.6,200,3,1000,Paid,2.49,Everyone,2018,yes,yes
FAMILY,4.6,71,5.7,500,Paid,2.49,Everyone,2018,yes,yes
PERSONALIZATION,4.6,26,8.5,100,Paid,2.49,Everyone,2017,yes,yes
BUSINESS,3.7,3,11,10,Paid,2.49,Everyone,2014,yes,yes
PERSONALIZATION,4.2,97890,14,1000000,Paid,2.49,Everyone,2016,yes,yes
PERSONALIZATION,4.7,4856,18,50000,Paid,2.49,Everyone,2018,yes,yes
FAMILY,4.2,13,23,1000,Paid,2.49,Everyone,2017,yes,yes
GAME,4.1,155,32,1000,Paid,2.49,Everyone,2018,yes,yes
FAMILY,4.3,6,33,1000,Paid,2.49,Everyone,2017,yes,yes
FAMILY,3.8,45,47,10000,Paid,2.49,Everyone,2018,yes,yes
PERSONALIZATION,4.8,133,59,1000,Paid,2.49,Everyone,2018,yes,yes
TRAVEL_AND_LOCAL,3.6,892,70,50000,Paid,2.49,Everyone,2018,yes,yes
TRAVEL_AND_LOCAL,3.4,39,32,1000,Paid,2.56,Everyone,2013,yes,yes
TOOLS,4.7,1363,1.6,10000,Paid,2.59,Everyone,2017,yes,yes
COMMUNICATION,4.2,5599,1.3,100000,Paid,2.9,Everyone,2018,yes,yes
TOOLS,4.4,319,1.1,10000,Paid,2.99,Everyone,2018,yes,yes
TOOLS,4.4,457,1.1,10000,Paid,2.99,Everyone,2016,yes,yes
MEDICAL,5,2,1.2,500,Paid,2.99,Everyone,2015,yes,yes
FAMILY,4.7,3,1.5,1000,Paid,2.99,Everyone,2017,yes,yes
TOOLS,4.7,6505,2,50000,Paid,2.99,Everyone,2017,yes,yes
TOOLS,4.6,85,2.4,1000,Paid,2.99,Everyone,2018,yes,yes
FINANCE,4,67,2.4,10000,Paid,2.99,Everyone,2017,yes,yes
COMMUNICATION,4.6,265,2.6,10000,Paid,2.99,Everyone,2018,yes,yes
BUSINESS,4.2,2359,2.7,10000,Paid,2.99,Everyone,2016,yes,yes
MEDICAL,4.5,133,2.8,10000,Paid,2.99,Everyone,2014,yes,yes
FAMILY,4.8,97,3.5,1000,Paid,2.99,Everyone,2018,yes,yes
TOOLS,4.7,963,3.7,10000,Paid,2.99,Everyone,2018,yes,yes
NEWS_AND_MAGAZINES,4.9,58,3.8,500,Paid,2.99,Everyone,2018,yes,yes
LIFESTYLE,4.6,275,3.9,5000,Paid,2.99,Everyone,2018,yes,yes
PHOTOGRAPHY,2.7,90,4,5000,Paid,2.99,Everyone,2017,yes,yes
SHOPPING,4.2,470,4.1,10000,Paid,2.99,Everyone,2018,yes,yes
PHOTOGRAPHY,3,20,4.3,1000,Paid,2.99,Everyone,2018,yes,yes
SPORTS,4.6,315,4.3,1000,Paid,2.99,Everyone,2018,yes,yes
MEDICAL,4.3,3,4.6,100,Paid,2.99,Everyone,2018,yes,yes
TOOLS,4.7,3,5.3,10,Paid,2.99,Everyone,2018,yes,yes
PRODUCTIVITY,4.4,936,5.4,50000,Paid,2.99,Everyone,2018,yes,yes
GAME,4.3,3904,5.5,10000,Paid,2.99,Everyone 10+,2014,yes,yes
PHOTOGRAPHY,4.6,28107,5.7,500000,Paid,2.99,Everyone,2018,yes,yes
SPORTS,3.7,84,6.3,1000,Paid,2.99,Everyone,2018,yes,yes
PERSONALIZATION,4.3,2538,6.4,100000,Paid,2.99,Everyone,2018,yes,yes
PRODUCTIVITY,4.7,81614,6.6,500000,Paid,2.99,Everyone,2018,yes,yes
PHOTOGRAPHY,4.3,12865,6.9,100000,Paid,2.99,Everyone,2014,yes,yes
FINANCE,4.7,19784,7.3,100000,Paid,2.99,Everyone,2018,yes,yes
PERSONALIZATION,4.2,1531,7.7,10000,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.3,41,7.9,1000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.6,7148,8.1,100000,Paid,2.99,Everyone,2017,yes,yes
HEALTH_AND_FITNESS,3.9,1075,8.3,50000,Paid,2.99,Everyone,2018,yes,yes
MEDICAL,3.8,206,9.5,10000,Paid,2.99,Everyone,2018,yes,yes
MEDICAL,3.4,77,9.9,5000,Paid,2.99,Everyone,2017,yes,yes
TRAVEL_AND_LOCAL,4.5,339,10,5000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.5,197,11,1000,Paid,2.99,Everyone,2017,yes,yes
PRODUCTIVITY,3.4,5,11,100,Paid,2.99,Everyone,2016,yes,yes
FAMILY,4.6,73,12,1000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.3,363,14,1000,Paid,2.99,Everyone 10+,2013,yes,yes
FAMILY,4.4,766,14,10000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.2,32812,14,500000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.3,382,15,10000,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.1,1143,15,10000,Paid,2.99,Everyone 10+,2013,yes,yes
FAMILY,1,1,16,10,Paid,2.99,Everyone,2016,yes,yes
GAME,4.7,416,16,10000,Paid,2.99,Teen,2017,yes,yes
FAMILY,4.6,15301,18,100000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,3.9,1213,18,10000,Paid,2.99,Everyone,2015,yes,yes
FAMILY,4.5,709,18,5000,Paid,2.99,Everyone,2015,yes,yes
FAMILY,3,2,18,50,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.5,4656,20,100000,Paid,2.99,Everyone 10+,2017,yes,yes
FAMILY,3.9,46,20,10000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.4,3570,21,100000,Paid,2.99,Everyone 10+,2017,yes,yes
FAMILY,4.7,19209,21,100000,Paid,2.99,Everyone,2016,yes,yes
FAMILY,4.4,412,22,10000,Paid,2.99,Everyone 10+,2016,yes,yes
FAMILY,3.5,2,22,50,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.3,129603,23,1000000,Paid,2.99,Everyone 10+,2016,yes,yes
MEDICAL,5,3,23,100,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4,248,26,5000,Paid,2.99,Everyone,2018,yes,yes
WEATHER,4.5,3005,26,10000,Paid,2.99,Everyone,2018,yes,yes
WEATHER,4.5,25243,26,100000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.7,10,30,1000,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.2,9659,30,100000,Paid,2.99,Everyone,2017,yes,yes
MEDICAL,4.4,1361,33,50000,Paid,2.99,Everyone,2018,yes,yes
TOOLS,4.4,9,33,50,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.4,54,33,500,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.1,313,34,5000,Paid,2.99,Everyone 10+,2016,yes,yes
MAPS_AND_NAVIGATION,4.2,453,36,10000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.7,2195,37,10000,Paid,2.99,Everyone,2016,yes,yes
FAMILY,4.6,4421,37,50000,Paid,2.99,Teen,2014,yes,yes
GAME,3.7,8014,37,100000,Paid,2.99,Everyone,2016,yes,yes
MEDICAL,4.4,104,38,1000,Paid,2.99,Teen,2018,yes,yes
FAMILY,4.6,73919,40,500000,Paid,2.99,Teen,2014,yes,yes
FAMILY,4.1,3863,41,100000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.4,1516,44,50000,Paid,2.99,Everyone,2017,yes,yes
GAME,4.6,21266,45,100000,Paid,2.99,Teen,2015,yes,yes
FAMILY,4.4,1091,45,50000,Paid,2.99,Everyone,2013,yes,yes
FAMILY,4.1,265,46,10000,Paid,2.99,Everyone,2016,yes,yes
SPORTS,3.6,28,48,500,Paid,2.99,Everyone,2017,yes,yes
SPORTS,4.4,172,49,5000,Paid,2.99,Everyone,2018,yes,yes
GAME,4.6,100805,50,1000000,Paid,2.99,Teen,2014,yes,yes
GAME,4.7,27856,50,100000,Paid,2.99,Teen,2015,yes,yes
ENTERTAINMENT,4.6,3771,53,100000,Paid,2.99,Mature 17+,2018,yes,yes
FAMILY,3.8,4,54,100,Paid,2.99,Everyone,2016,yes,yes
FAMILY,3.8,52,55,10000,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.2,1013,58,50000,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.2,1357,58,50000,Paid,2.99,Everyone,2016,yes,yes
FAMILY,4.3,169,60,5000,Paid,2.99,Everyone,2018,yes,yes
GAME,4.4,33661,60,100000,Paid,2.99,Everyone,2018,yes,yes
GAME,4.4,18621,63,100000,Paid,2.99,Everyone,2018,yes,yes
GAME,4.4,18652,63,100000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.3,3725,67,100000,Paid,2.99,Everyone,2016,yes,yes
FAMILY,4.5,144,70,1000,Paid,2.99,Teen,2018,yes,yes
FAMILY,3,2,82,500,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.6,190086,94,1000000,Paid,2.99,Everyone,2018,yes,yes
GAME,4.5,16162,99,100000,Paid,2.99,Teen,2017,yes,yes
TOOLS,3.9,319,0.025,10000,Paid,2.99,Everyone,2017,yes,yes
MEDICAL,4.3,214,0.899,10000,Paid,2.99,Everyone,2012,yes,yes
COMMUNICATION,3.7,197,0.957,10000,Paid,2.99,Everyone,2016,yes,yes
SPORTS,4.2,6,1.3,100,Paid,3.02,Everyone,2017,yes,yes
LIFESTYLE,5,1,1.2,10,Paid,3.04,Everyone,2016,yes,yes
BOOKS_AND_REFERENCE,4.4,47,1.4,1000,Paid,3.08,Everyone,2016,yes,yes
TOOLS,3.9,1417,2.9,10000,Paid,3.28,Everyone,2017,yes,yes
GAME,4.8,265,1.3,1000,Paid,3.49,Everyone,2015,yes,yes
PHOTOGRAPHY,3,1,2.5,10,Paid,3.49,Everyone,2017,yes,yes
SPORTS,4.1,7,3.4,100,Paid,3.49,Everyone,2016,yes,yes
TOOLS,4.8,12700,10,100000,Paid,3.49,Everyone,2018,yes,yes
HEALTH_AND_FITNESS,4.4,15753,13,100000,Paid,3.49,Everyone,2018,yes,yes
MEDICAL,4.6,156,22,500,Paid,3.49,Everyone,2018,yes,yes
SPORTS,4.6,10,6.1,100,Paid,3.88,Everyone,2013,yes,yes
TOOLS,4.3,33,1,500,Paid,3.99,Everyone,2015,yes,yes
TOOLS,4.3,15,1.2,100,Paid,3.99,Everyone,2014,yes,yes
FAMILY,2.4,7,2.1,100,Paid,3.99,Everyone,2017,yes,yes
TOOLS,4.9,83,3.1,500,Paid,3.99,Everyone,2018,yes,yes
FAMILY,4.5,659,3.3,10000,Paid,3.99,Everyone,2018,yes,yes
TOOLS,4.5,2,3.3,100,Paid,3.99,Everyone,2018,yes,yes
BUSINESS,4.8,726,5.4,1000,Paid,3.99,Everyone,2017,yes,yes
MEDICAL,4.4,15,5.8,1000,Paid,3.99,Everyone,2018,yes,yes
SPORTS,3.6,25,6,1000,Paid,3.99,Everyone,2015,yes,yes
TRAVEL_AND_LOCAL,4.7,213,6.1,5000,Paid,3.99,Everyone,2018,yes,yes
